"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1979-01-01","1979","01","01","","-17.4","","-21.5","","-19.5","","37.5","","0.0","","0.0","","0.2","","0.2","","9","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1979-01-02","1979","01","02","","-18.9","","-26.0","","-22.5","","40.5","","0.0","","0.0","","0.0","T","0.0","T","9","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1979-01-03","1979","01","03","","-18.3","","-23.4","","-20.9","","38.9","","0.0","","0.0","","0.0","T","0.0","T","9","","36","","39",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1979-01-04","1979","01","04","","-16.0","","-24.7","","-20.4","","38.4","","0.0","","0.0","","0.0","T","0.0","T","9","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1979-01-05","1979","01","05","","-6.9","","-20.4","","-13.7","","31.7","","0.0","","0.0","","0.0","","0.0","","9","","32","","41",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1979-01-06","1979","01","06","","-11.0","","-18.3","","-14.7","","32.7","","0.0","","0.0","","0.0","","0.0","","8","","32","","50",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1979-01-07","1979","01","07","","-6.4","","-18.4","","-12.4","","30.4","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1979-01-08","1979","01","08","","-7.8","","-11.2","","-9.5","","27.5","","0.0","","0.0","","0.0","T","0.0","T","8","","35","","35",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1979-01-09","1979","01","09","","-9.1","","-21.3","","-15.2","","33.2","","0.0","","0.0","","0.0","T","0.0","T","8","","35","","39",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1979-01-10","1979","01","10","","-15.0","","-22.6","","-18.8","","36.8","","0.0","","0.0","","0.0","T","0.0","T","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1979-01-11","1979","01","11","","-20.3","","-25.2","","-22.8","","40.8","","0.0","","0.0","","0.4","","0.4","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1979-01-12","1979","01","12","","-21.6","","-28.2","","-24.9","","42.9","","0.0","","0.0","","0.2","","0.2","","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1979-01-13","1979","01","13","","-23.5","","-29.9","","-26.7","","44.7","","0.0","","0.0","","0.0","T","0.0","T","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1979-01-14","1979","01","14","","-17.3","","-29.0","","-23.2","","41.2","","0.0","","0.0","","0.0","T","0.0","T","8","","","","<31",""
"-113.52","53.57","EDMONTON CITY CENTRE A","3012208","1979-01-15","1979","01","15","","-17.0","","-26.8","","-21.9","","39.9","","0.0","","0.0","","0.0","T","0.0","T","8","","","","<31",""
